EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-9.977,33.169,35.629,18.820,2.016,24.812,67.594,31.652,-0.022,0.917,-0.450,0.122,-0.427,0.153,73.333,30417.000,1.000
-11.210,48.189,33.164,20.310,3.212,27.624,60.697,16.079,-0.023,0.918,-0.450,0.153,-0.366,0.153,73.333,30418.000,1.000
-12.585,59.932,29.514,23.197,4.222,30.965,53.987,1.755,-0.025,0.919,-0.451,0.336,-0.336,0.275,73.333,30419.000,1.000
-14.538,66.989,26.270,26.441,4.649,33.757,46.908,-10.254,-0.026,0.921,-0.447,0.366,-0.305,0.336,73.333,30420.000,1.000
-17.360,68.419,24.303,29.654,3.994,34.737,38.442,-19.323,-0.026,0.922,-0.449,0.427,-0.366,0.397,73.333,30421.000,1.000
-21.059,64.162,23.395,32.957,1.990,33.065,27.693,-25.205,-0.026,0.924,-0.449,0.366,-0.366,0.488,73.333,30422.000,1.000
-25.190,55.118,22.599,36.913,-0.823,29.146,15.720,-26.936,-0.026,0.922,-0.447,0.366,-0.458,0.458,73.333,30423.000,1.000
-28.813,43.359,21.030,42.368,-3.358,24.618,4.631,-23.566,-0.025,0.920,-0.448,0.427,-0.397,0.519,73.333,30424.000,1.000
-31.051,30.800,18.187,49.736,-4.860,21.480,-3.238,-14.628,-0.025,0.919,-0.448,0.397,-0.519,0.458,73.333,30425.000,1.000
-31.683,17.832,14.092,57.913,-5.671,20.484,-7.082,-1.275,-0.025,0.919,-0.450,0.275,-0.488,0.488,73.333,30426.000,1.000
-31.116,3.508,9.542,64.254,-6.938,20.561,-8.405,13.584,-0.024,0.918,-0.447,0.366,-0.549,0.397,73.333,30427.000,1.000
-30.034,-13.265,5.807,66.117,-9.747,20.098,-8.951,27.279,-0.022,0.918,-0.447,0.458,-0.427,0.336,73.333,30428.000,1.000
-29.126,-32.162,3.701,62.329,-14.747,17.985,-10.600,37.631,-0.022,0.917,-0.447,0.519,-0.458,0.336,73.333,30429.000,1.000
-28.851,-51.346,2.962,53.833,-21.749,14.260,-14.386,43.685,-0.023,0.918,-0.448,0.549,-0.427,0.244,73.333,30430.000,1.000
-29.178,-68.389,2.522,42.878,-29.743,9.750,-20.396,45.421,-0.020,0.920,-0.447,0.488,-0.427,0.244,73.333,30431.000,1.000
-29.555,-81.415,1.385,31.498,-37.348,5.250,-28.319,42.865,-0.020,0.921,-0.447,0.549,-0.305,0.275,73.333,30432.000,1.000
-29.143,-89.704,-0.492,20.862,-43.104,1.451,-36.533,36.584,-0.021,0.919,-0.452,0.671,-0.275,0.153,73.333,30433.000,1.000
-27.256,-93.105,-2.131,11.350,-45.841,-1.268,-43.554,26.867,-0.020,0.919,-0.451,0.732,-0.214,0.122,73.333,30434.000,1.000
-23.782,-91.766,-2.303,3.143,-44.938,-2.712,-48.360,13.980,-0.023,0.917,-0.451,0.732,-0.122,0.061,73.333,30435.000,1.000
-19.220,-85.890,-0.299,-3.454,-40.762,-2.847,-50.817,-1.719,-0.020,0.918,-0.450,0.793,-0.275,0.061,73.333,30436.000,1.000
-14.466,-76.073,3.608,-8.327,-34.912,-2.154,-52.172,-19.863,-0.017,0.916,-0.450,0.916,-0.244,0.000,73.333,30437.000,1.000
-10.475,-63.914,8.236,-11.733,-29.496,-1.648,-53.649,-39.250,-0.019,0.914,-0.455,0.977,-0.153,0.000,73.333,30438.000,1.000
-7.760,-51.060,12.237,-14.190,-25.920,-2.612,-56.604,-58.640,-0.019,0.916,-0.453,1.038,-0.031,-0.061,73.333,30439.000,1.000
-6.191,-38.324,14.875,-15.859,-23.954,-5.457,-61.214,-76.354,-0.021,0.915,-0.453,1.068,-0.061,0.000,73.333,30440.000,1.000
-5.237,-25.578,16.313,-16.265,-22.271,-9.149,-66.070,-90.353,-0.021,0.916,-0.449,1.221,0.000,-0.061,73.333,30441.000,1.000
-4.336,-12.320,17.282,-14.862,-19.730,-11.907,-69.305,-99.053,-0.024,0.918,-0.452,1.373,0.061,0.000,73.333,30442.000,1.000
-3.169,1.366,18.513,-11.685,-16.057,-12.221,-68.906,-101.263,-0.022,0.919,-0.453,1.434,0.092,-0.031,73.333,30443.000,1.000
-1.719,14.674,20.392,-7.658,-11.915,-9.849,-64.634,-97.255,-0.024,0.917,-0.454,1.404,0.153,-0.061,73.333,30444.000,1.000
